#separator:tab
#html:false
das Arbeitszimmer	кабинет
das Kinderzimmer	детская
die Toilette	туалет
der Balkon	балкон
das Wohnzimmer	гостиная
der	определённый артикль (м.р.)
das	определённый артикль (ср.р.)
die	определённый артикль (ж.р.)
das Haus	дом
nicht	не
aber	но
der Monat	месяц
die Nachricht	новость
das Partnerspiel	игра с партнёром
breit	широкий
schmal	узкий
Möbel	мебель
der Schrank	шкаф
der Kühlschrank	холодильник
das Sofa	диван
der Tisch	стол
der Stuhl	стул
das Bett	кровать
die Waschmaschine	стиральная машина
der Fernseher	телевизор
die Dusche	душ
der Herd	плита
die Badewanne	ванна
das Waschbecken	раковина
der Teppich	ковёр
der Sessel	кресло
das Elektrogerät	электроприбор
das Gerät	прибор
gefallen	нравиться
die Farbe	цвет
ganz gut	неплохо
ganz	совсем
schauen	смотреть
modern	современный
dunkel-	тёмно-
weiß	белый
schwarz	чёрный
hell-	светло-
grau	серый
grün	зелёный
braun	коричневый
blau	голубой
rot	красный
gelb	жёлтый
die Wohnungsanzeige	объявление о квартире
(ein)hundert	сто
tausend	тысяча
die Million	миллион
das Kinderbett	детская кровать
der Zentimeter	сантиметр
mal	на (умножить)
diktieren	диктовать
das Handy	мобильный телефон
die Handynummer	номер мобильного
die Arbeit	работа
die Anzeige	объявление
nett	милый
das Ehepaar	супружеская пара
mit	с
der Garten	сад
warm	тёплый
der Quadratmeter	квадратный метр
vermieten	сдавать (в аренду)
das Apartment	апартаменты
der Wohnraum	жилое помещение
der Raum	комната
Nebenkosten	коммунальные расходы
die Monatsmiete	месячная аренда
die Miete	аренда
die Kaution	залог
der Stock	этаж
circa	примерно
privat	частный
ab	от
sofort	сразу
ab sofort	с этого момента
maximal	максимально
die Warmmiete	аренда с отоплением
der Anruf	звонок
unter	по (номеру)
möbliert	меблированный
das TV	телевизор
die Einbauküche	встроенная кухня
die Garage	гараж
verkaufen	продавать
etwas	что-то
der Computertisch	компьютерный стол
der Computer	компьютер
der Schreibtisch	письменный стол
heute	сегодня
welch-	какой
also	итак
ungefähr	примерно
der Meter	метр
hoch	высокий
morgen	завтра
der definite Artikel	определённый артикль
das Personalpronomen	личное местоимение
die Negation	отрицание
beschreiben	описывать
das Traumzimmer	комната мечты
führen	вести
missfallen	не нравиться
benennen	называть
die Kleinanzeige	маленькое объявление
das Möbelstück	предмет мебели
frei	свободный
korrigieren	исправлять
Leute	люди
der Juli	июль
ruhig	спокойный
wirklich	действительно
da sein	быть, присутствовать
beide	оба
der Messie	мессия
der Raucher	курильщик
die Raucherin	курильщица
fotografieren	фотографировать
sehen	видеть
der Liedtext	текст песни
die Bewegung	движение
ziemlich	довольно
der Sprachkurs	языковой курс
zweimal	дважды
Schweden	Швеция
Dänemark	Дания
die Abkürzung	сокращение
die Immobilie	недвижимость
die Tiefgarage	подземный гараж
die Zeichnung	чертёж
die Verhandlungsbasis	основа для переговоров
bequem	удобный
französisch	французский
das Metall	металл
die Matratze	матрас
der Wohnzimmerschrank	шкаф для гостиной
das Plasma TV	плазменный телевизор
die Höhe	высота
die Breite	ширина
die Tiefe	глубина
die SMS	смс
der Beruf	профессия
die Regel	правило
das Büro	офис
der Hund	собака
die Pizza	пицца
essen	есть
rauchen	курить
erlaubt sein	быть разрешённым
verbieten	запрещать
verboten sein	быть запрещённым
der Lärm	шум
leise	тихо
das Haustier	домашнее животное
rund um …	вокруг
der Mietvertrag	договор аренды
betragen	составлять
monatlich	ежемесячно
die Kaltmiete	аренда без отопления
gesamt	всего
der Kontoauszug	выписка со счёта
der Kontostand	остаток на счёте
das Gehalt	зарплата
der Strom	электричество
die Lebensversicherung	страхование жизни
Stadtwerke	городские службы
die Heizung	отопление
